uuid_collectionneur;uuid_collection;statut_notice;titre_collection;activite_personne
216f291c-be8e-4337-a468-eda8537f3ae5;383a14dd-c8d1-4547-a4aa-9bb6673df3be;Publiée;Collection de Louis Gardanne;collectionneur
aeaf8128-a3c9-4500-af81-d08bf6fe5180;63f315a9-9582-4fde-877d-21970285ad72;Publiée;Collection de Johann Jacob Maria de Groot;collecteur
67bb6a51-a0d4-457c-be4b-1afd976a3997;5e1c7ed6-e2a5-435d-bf67-6ea2f3622187;Publiée;Collection d'Albert Bourée;collectionneur
f59b87df-50c0-4111-ac8f-869536127d34;6e6f59bf-6e4e-4027-af1f-7a055789406a;Publiée;Collection de Pierre Jean David d'Angers;collectionneur
9e81f056-4227-40db-95d9-37d39a8ae874;3b4d0edf-cc09-4fc1-89bb-e7838695b918;Publiée;Collection de E. R. Vittu de Keraoul;collectionneur
27a31a76-c188-4264-8800-00d4cc5d70bc;a5de82d3-e1dc-42d2-9a7d-827ee24f1c34;Publiée;Collection d'Emmanuel Lansyer;collectionneur
4585cbe5-07fb-45d4-929d-a93fa37d1e81;0902e774-fa23-4c7c-8f6c-75d37c6211ff;Publiée;Collection de Jean-Jacques Matignon;collectionneur
3fb70c5e-3b4b-479b-84fb-a7cfcd271d32;fce6070e-3ac4-4050-80b7-caf225b115b7;Publiée;Collection d'Auguste Lesouëf;collectionneur
80a64ab9-65f3-4b08-b171-818e9c3b982f;39b40177-f36b-4ae6-9f52-da9f171db5d2;Publiée;Collection de Claude Dethève;collectionneur
ce694a56-4340-40a6-ac49-c5568e6bf954;223bbb97-13bf-4f50-9213-e9037e9830d4;Publiée;Collection d'Alexis Rouart;collectionneur
9fde1b4f-fa0c-4826-b29c-0c0132845e94;281e7f43-f053-4965-a82d-b2ddbb5575ae;Publiée;Collection de Jacques Bacot;collectionneur
b455a431-ce21-4e0b-87f4-bc0d1d92092e;2b0bdbc4-8dc8-466c-baba-5de97cea168e;Publiée;Collection de Palmyr Cordier;collecteur
38ea431c-0341-4430-9902-f00b5dad9cbd;81ef360a-741e-4315-be82-4aef05feb6d7;Publiée;Collection d'Érique Guilloteaux;collectionneur
92ce6cc4-8052-4c28-8b75-efb474f67664;0be51d9e-4975-46c5-b138-8251caa3209d;Publiée;Collection de Félix Régamey;collectionneur
37abc3aa-389e-43d8-8fee-052f703cffe6;9808e019-d2d4-49a6-af3f-85d33bb7ddc1;Publiée;Collection de Jacques Guérin;collecteur
0c50350c-7d3d-4a56-81c0-f410232f081a;da9a5a08-bdc1-4904-b2c4-d6272982a0b5;Publiée;Collection de Charles Rabot;
a3551e1b-4883-40ff-98d3-5a6bce69b67d;115a280a-a67b-417e-a124-96f4b4695c75;Publiée;Collection de Thomas I Dobrée;collectionneur
cc996811-840f-4c94-961f-5e2eccd46230;0240768d-33b2-40a9-9801-0c3e73de7fdc;Publiée;Collection de Pauline Buisson d'Armandy;collectionneur
1bf2a25a-995f-4dd5-b78c-d01b2f26a950;bce64add-4166-4687-add0-f988c78ceb03;Publiée;Collection de Henri Rivière;collectionneur
e7fa5d7f-838f-4685-88c4-3d82d90bca8d;f374c5ae-f1d6-47da-b4e4-acc476829441;Publiée;Collection d'Ernest Frandon et Gabrielle Le Provost de la Voltais;collectionneur
a4ba4c89-319f-41c1-8fe7-f341160c6a05;f374c5ae-f1d6-47da-b4e4-acc476829441;Publiée;Collection d'Ernest Frandon et Gabrielle Le Provost de la Voltais;collectionneur
29985f55-73d2-4ed1-9669-6164280f177d;ceedb39f-db8c-4069-a180-b4ea9a8d8a95;Publiée;Collection d'Edouard Huber;collecteur
4cf6387d-a42f-4500-b941-34e5d2d5bdb3;f8d698df-e549-4fac-bb8a-713a2d25fdc9;Publiée;Collection de Louis de Rohan;collectionneur
b0695e6a-24c7-44f1-97c4-71a73c6aa1a1;b17adf91-3d38-4653-9983-50a25bcb6449;Publiée;Collection d'Ernest Grandidier;collectionneur
